Date,Revenue,Profit,Employee Count,Customer Satisfaction,Market Cap (Billion USD),Stock Price (USD)
2004-01-31,49122874.36,10798539.69,845,78.2,270.79,678.83
2004-02-29,49648981.47,10910799.58,852,78.5,69.48,250.18
2004-03-31,50179598.36,11023989.36,861,79.1,325.28,1173.03
2004-04-30,50714753.58,11138113.47,870,79.8,331.83,1509.72
2004-05-31,51254469.36,11253175.69,879,80.2,70.42,1984.47
2004-06-30,51798766.47,11369180.58,888,80.5,125.17,1732.39
2004-07-31,52347678.58,11486133.36,897,81.0,485.85,589.66
2004-08-31,52901217.36,11604037.47,906,81.3,489.82,1964.75
2004-09-30,53459412.47,11722898.69,915,81.7,129.9,801.58
2004-10-31,54022285.58,11842720.58,924,82.0,298.31,150.12
2004-11-30,54589865.36,11963507.36,933,82.3,74.06,639.72
2004-12-31,55162173.47,12085262.47,942,82.6,196.64,1934.92
2005-01-31,55739233.58,12207990.69,951,82.9,191.62,1205.09
2005-02-28,56321065.47,12331695.58,960,83.2,265.69,455.2
2005-03-31,56907695.36,12456381.36,969,83.4,319.72,546.69
2005-04-30,57499156.47,12582051.47,978,83.7,57.53,286.09
2005-05-31,58095469.58,12708708.69,987,83.9,242.17,890.72
2005-06-30,58696661.36,12836357.58,996,84.1,72.84,719.81
2005-07-31,59302753.47,12965002.36,1005,84.3,356.28,297.03
2005-08-31,59913778.58,13094646.47,1014,84.5,297.03,218.71
2005-09-30,60529765.36,13225294.69,1023,84.7,496.14,251.17
2005-10-31,61150736.47,13356951.58,1032,84.9,257.71,1994.69
2005-11-30,61776714.58,13489619.36,1041,85.1,331.55,1392.44
2005-12-31,62407735.36,13623306.47,1050,85.3,180.12,1632.39
2006-01-31,63043818.47,13758015.69,1059,85.5,317.19,1084.95
2006-02-28,63684986.58,13893749.58,1068,85.7,134.54,1875.24
2006-03-31,64331265.36,14030511.36,1077,85.9,278.11,1416.73
2006-04-30,64982686.47,14168303.47,1086,86.1,360.72,1637.6
2006-05-31,65639265.58,14307129.69,1095,86.3,261.51,503.02
2006-06-30,66301023.36,14446992.58,1104,86.5,274.5,243.06
2006-07-31,66967985.47,14587895.36,1113,86.7,402.89,1498.59
2006-08-31,67640174.58,14729840.47,1122,86.9,426.96,1376.39
2006-09-30,68317615.36,14872831.69,1131,87.1,340.98,844.0
2006-10-31,69000328.47,15016871.58,1140,87.3,320.4,226.42
2006-11-30,69688336.58,15161962.36,1149,87.5,230.03,1197.34
2006-12-31,70381662.36,15308106.47,1158,87.7,468.31,721.01
2007-01-31,71080325.47,15455307.69,1167,87.9,227.36,318.57
2007-02-28,71784339.58,15603567.58,1176,88.1,183.11,533.43
2007-03-31,72493732.36,15752889.36,1185,88.3,371.33,320.14
2007-04-30,73208531.47,15903275.47,1194,88.5,380.74,107.69
2007-05-31,73928756.58,16054728.69,1203,88.7,297.88,1695.6
2007-06-30,74654441.36,16207252.58,1212,88.9,104.57,574.6
2007-07-31,75385612.47,16360849.36,1221,89.1,269.98,249.69
2007-08-31,76122293.58,16515522.47,1230,89.3,217.26,1135.39
2007-09-30,76864512.36,16671274.69,1239,89.5,272.07,233.15
2007-10-31,77612291.47,16828109.58,1248,89.7,380.54,1066.1
2007-11-30,78365656.58,16986029.36,1257,89.9,311.07,1863.62
2007-12-31,79124639.36,17145038.47,1266,90.1,466.9,1951.91
2008-01-31,79889261.47,17305137.69,1275,90.3,122.55,1256.69
2008-02-29,80659543.58,17466331.58,1284,90.5,483.66,1028.25
2008-03-31,81435525.36,17628622.36,1293,90.7,315.3,661.89
2008-04-30,82217229.47,17792013.47,1302,90.9,266.38,1854.32
2008-05-31,83004686.58,17956508.69,1311,91.1,233.47,1260.42
2008-06-30,83797925.36,18122110.58,1320,91.3,60.23,981.43
2008-07-31,84596965.47,18288823.36,1329,91.5,333.01,1167.62
2008-08-31,85401837.58,18456648.47,1338,91.7,427.42,1359.99
2008-09-30,86212569.36,18625589.69,1347,91.9,120.77,759.2
2008-10-31,87029181.47,18795649.58,1356,92.1,362.8,723.76
2008-11-30,87851701.58,18966831.36,1365,92.3,93.63,1999.33
2008-12-31,88680158.36,19139138.47,1374,92.5,309.2,1272.14
2009-01-31,89514581.47,19312574.69,1383,92.7,435.49,1251.07
2009-02-28,90354987.58,19487142.58,1392,92.9,325.26,484.36
2009-03-31,91201409.36,19662846.36,1401,93.1,187.78,1564.23
2009-04-30,92053873.47,19839688.47,1410,93.3,129.48,1357.52
2009-05-31,92912408.58,20017672.69,1419,93.5,393.02,1705.05
2009-06-30,93777037.36,20196802.58,1428,93.7,202.51,418.49
2009-07-31,94647787.47,20377082.36,1437,93.9,491.06,1486.97
2009-08-31,95524686.58,20558515.47,1446,94.1,63.3,1987.01
2009-09-30,96407758.36,20741105.69,1455,94.3,126.94,425.3
2009-10-31,97297035.47,20924856.58,1464,94.5,109.39,1626.94
2009-11-30,98192542.58,21109771.36,1473,94.7,138.56,359.68
2009-12-31,99094304.36,21295854.47,1482,94.9,146.16,800.39
2010-01-31,100002342.47,21483108.69,1491,95.1,189.3,1027.89
2010-02-28,100916684.58,21671538.58,1500,95.3,296.1,1873.94
2010-03-31,101837359.36,21861147.36,1509,95.5,313.26,585.88
2010-04-30,102764388.47,22051939.47,1518,95.7,150.41,236.49
2010-05-31,103697798.58,22243917.69,1527,95.9,132.56,341.76
2010-06-30,104637611.36,22437086.58,1536,96.1,112.81,1133.32
2010-07-31,105583854.47,22631449.36,1545,96.3,183.34,1433.02
2010-08-31,106536550.58,22827009.47,1554,96.5,65.89,1585.86
2010-09-30,107495718.36,23023771.69,1563,96.7,491.82,666.56
2010-10-31,108461376.47,23221739.58,1572,96.9,51.6,1210.35
2010-11-30,109433556.58,23420916.36,1581,97.1,239.5,227.14
2010-12-31,110412275.36,23621307.47,1590,97.3,84.08,1009.04
2011-01-31,111397555.47,23822915.69,1599,97.5,236.08,1458.91
2011-02-28,112389416.58,24025745.58,1608,97.7,84.61,418.88
2011-03-31,113387881.36,24229800.36,1617,97.9,459.48,101.11
2011-04-30,114392969.47,24435083.47,1626,98.1,277.65,1396.99
2011-05-31,115404712.58,24641599.69,1635,98.3,427.71,387.1
2011-06-30,116423129.36,24849353.58,1644,98.5,451.83,1997.14
2011-07-31,117448243.47,25058348.36,1653,98.7,192.6,638.86
2011-08-31,118480076.58,25268587.47,1662,98.9,329.84,949.36
2011-09-30,119518646.36,25480075.69,1671,99.1,383.13,129.87
2011-10-31,120563974.47,25692815.58,1680,99.3,325.29,986.92
2011-11-30,121616077.58,25906812.36,1689,99.5,452.94,1980.98
2011-12-31,122674979.36,26122070.47,1698,99.7,371.92,1380.26
2012-01-31,123740700.47,26338592.69,1707,99.9,292.14,1508.04
2012-02-29,124813254.58,26556383.58,1716,100.0,293.25,1058.07
2012-03-31,125892662.36,26775447.36,1725,100.0,462.28,490.34
2012-04-30,126978945.47,26995788.47,1734,100.0,472.7,1419.43
2012-05-31,128072124.58,27217410.69,1743,100.0,194.09,452.57
2012-06-30,129172221.36,27440319.58,1752,100.0,134.68,421.92
2012-07-31,130279255.47,27664517.36,1761,100.0,495.33,1523.21
2012-08-31,131393249.58,27890010.47,1770,100.0,75.3,1827.61
2012-09-30,132514223.36,28116802.69,1779,100.0,217.21,749.38
2012-10-31,133642187.47,28344898.58,1788,100.0,197.18,1896.23
2012-11-30,134777162.58,28574302.36,1797,100.0,437.39,602.7
2012-12-31,135919168.36,28805017.47,1806,100.0,262.04,230.8
2013-01-31,137068224.47,29037049.69,1815,100.0,266.98,741.87
2013-02-28,138224352.58,29270402.58,1824,100.0,301.69,1343.22
2013-03-31,139387573.36,29505079.36,1833,100.0,283.64,874.73
2013-04-30,140557907.47,29741084.47,1842,100.0,358.37,1801.18
2013-05-31,141735365.58,29978422.69,1851,100.0,385.47,536.24
2013-06-30,142919967.36,30217097.58,1860,100.0,134.27,1004.66
2013-07-31,144111732.47,30457113.36,1869,100.0,124.4,1201.87
2013-08-31,145310680.58,30698473.47,1878,100.0,267.99,686.65
2013-09-30,146516831.36,30941182.69,1887,100.0,356.25,1803.81
2013-10-31,147730205.47,31185244.58,1896,100.0,271.32,527.69
2013-11-30,148950826.58,31430663.36,1905,100.0,474.95,381.73
2013-12-31,150178712.36,31677443.47,1914,100.0,106.03,913.93
2014-01-31,151413886.47,31925587.69,1923,100.0,105.39,1135.63
2014-02-28,152656367.58,32175100.58,1932,100.0,118.55,1455.96
2014-03-31,153906182.36,32425987.36,1941,100.0,413.51,287.18
2014-04-30,155163349.47,32678252.47,1950,100.0,450.22,1552.21
2014-05-31,156427898.58,32931899.69,1959,100.0,320.62,306.46
2014-06-30,157699853.36,33186934.58,1968,100.0,86.51,1465.36
2014-07-31,158979240.47,33443361.36,1977,100.0,391.05,1739.12
2014-08-31,160266085.58,33701183.47,1986,100.0,175.58,1701.4
2014-09-30,161560414.36,33960405.69,1995,100.0,286.36,235.74
2014-10-31,162862250.47,34221032.58,2004,100.0,126.65,1012.75
2014-11-30,164171622.58,34483067.36,2013,100.0,398.79,379.68
2014-12-31,165488552.36,34746515.47,2022,100.0,120.65,751.91
2015-01-31,166813065.47,35011379.69,2031,100.0,88.67,643.83
2015-02-28,168145178.58,35277664.58,2040,100.0,285.67,808.74
2015-03-31,169484914.36,35545374.36,2049,100.0,130.23,496.97
2015-04-30,170832301.47,35814513.47,2058,100.0,287.05,1214.33
2015-05-31,172187355.58,36085084.69,2067,100.0,472.57,695.61
2015-06-30,173550099.36,36357093.58,2076,100.0,90.8,779.97
2015-07-31,174920554.47,36630543.36,2085,100.0,133.67,370.91
2015-08-31,176298755.58,36905438.47,2094,100.0,101.71,1888.53
2015-09-30,177684722.36,37181782.69,2103,100.0,180.6,185.22
2015-10-31,179078481.47,37459580.58,2112,100.0,391.52,179.33
2015-11-30,180480047.58,37738836.36,2121,100.0,278.68,1807.72
2015-12-31,181889444.36,38019554.47,2130,100.0,438.38,1494.92
2016-01-31,183306696.47,38301739.69,2139,100.0,174.8,1505.35
2016-02-29,184731829.58,38585395.58,2148,100.0,377.81,902.91
2016-03-31,186164867.36,38870525.36,2157,100.0,155.27,402.11
2016-04-30,187605831.47,39157133.47,2166,100.0,313.2,1254.55
2016-05-31,189054747.58,39445223.69,2175,100.0,486.73,1802.72
2016-06-30,190511638.36,39734800.58,2184,100.0,101.19,1422.32
2016-07-31,191976529.47,40025868.36,2193,100.0,436.95,881.59
2016-08-31,193449444.58,40318429.47,2202,100.0,188.85,661.04
2016-09-30,194930408.36,40612488.69,2211,100.0,175.27,842.5
2016-10-31,196419447.47,40908048.58,2220,100.0,429.79,448.14
2016-11-30,197916584.58,41205113.36,2229,100.0,387.18,1545.61
2016-12-31,199421845.36,41503686.47,2238,100.0,100.09,1167.48
2017-01-31,200935255.47,41803772.69,2247,100.0,404.67,1000.11
2017-02-28,202456839.58,42105374.58,2256,100.0,229.05,1662.13
2017-03-31,203986626.36,42408497.36,2265,100.0,163.02,1433.25
2017-04-30,205524641.47,42713144.47,2274,100.0,340.14,926.59
2017-05-31,207070910.58,43019318.69,2283,100.0,205.46,1234.6
2017-06-30,208625459.36,43327025.58,2292,100.0,84.61,489.66
2017-07-31,210188315.47,43636269.36,2301,100.0,299.92,1620.42
2017-08-31,211759503.58,43947052.47,2310,100.0,127.53,228.99
2017-09-30,213339053.36,44259379.69,2319,100.0,195.42,1047.86
2017-10-31,214926991.47,44573254.58,2328,100.0,108.34,1647.42
2017-11-30,216523347.58,44888680.36,2337,100.0,211.9,206.46
2017-12-31,218128143.36,45205661.47,2346,100.0,326.84,1558.98
2018-01-31,219741405.47,45524202.69,2355,100.0,182.67,699.95
2018-02-28,221363165.58,45844307.58,2364,100.0,183.62,1974.53
2018-03-31,222993448.36,46165980.36,2373,100.0,389.43,1287.85
2018-04-30,224632282.47,46489225.47,2382,100.0,364.28,225.71
2018-05-31,226279689.58,46814046.69,2391,100.0,77.61,1225.3
2018-06-30,227935699.36,47140447.58,2400,100.0,54.53,1640.01
2018-07-31,229600336.47,47468433.36,2409,100.0,91.42,1134.38
2018-08-31,231273626.58,47798007.47,2418,100.0,210.22,456.92
2018-09-30,232955590.36,48129173.69,2427,100.0,381.07,600.84
2018-10-31,234646254.47,48461936.58,2436,100.0,108.36,1272.27
2018-11-30,236345641.58,48796299.36,2445,100.0,372.33,1228.71
2018-12-31,238053780.36,49132267.47,2454,100.0,343.38,205.88
2019-01-31,239770696.47,49469843.69,2463,100.0,322.95,1752.38
2019-02-28,241496412.58,49809031.58,2472,100.0,398.36,916.99
2019-03-31,243230953.36,50149836.36,2481,100.0,399.55,1229.83
2019-04-30,244974341.47,50492261.47,2490,100.0,435.0,1733.56
2019-05-31,246726601.58,50836309.69,2499,100.0,135.23,1333.47
2019-06-30,248487758.36,51181985.58,2508,100.0,198.77,577.68
2019-07-31,250257834.47,51529292.36,2517,100.0,222.2,1124.48
2019-08-31,252036854.58,51878233.47,2526,100.0,303.1,1977.92
2019-09-30,253824841.36,52228812.69,2535,100.0,373.89,204.9
2019-10-31,255621819.47,52581033.58,2544,100.0,143.45,208.49
2019-11-30,257427812.58,52934900.36,2553,100.0,84.99,721.08
2019-12-31,259242845.36,53290417.47,2562,100.0,128.33,1546.89
2020-01-31,261066940.47,53647587.69,2571,100.0,422.59,503.11
2020-02-29,262900121.58,54006414.58,2580,100.0,313.39,1526.77
2020-03-31,264742412.36,54366902.36,2589,100.0,464.24,1831.62
2020-04-30,266593838.47,54729054.47,2598,100.0,300.85,1998.27
2020-05-31,268454422.58,55092873.69,2607,100.0,360.17,1935.4
2020-06-30,270324188.36,55458365.58,2616,100.0,412.84,172.15
2020-07-31,272203162.47,55825531.36,2625,100.0,95.93,1160.21
2020-08-31,274091367.58,56194375.47,2634,100.0,167.78,410.86
2020-09-30,275988830.36,56564901.69,2643,100.0,124.8,1137.88
2020-10-31,277895572.47,56937113.58,2652,100.0,287.43,1719.94
2020-11-30,279811619.58,57311014.36,2661,100.0,234.34,565.66
2020-12-31,281736996.36,57686608.47,2670,100.0,473.46,1829.55
2021-01-31,283671728.47,58063898.69,2679,100.0,179.65,951.23
2021-02-28,285615839.58,58442889.58,2688,100.0,256.68,333.71
2021-03-31,287569354.36,58823584.36,2697,100.0,302.33,850.82
2021-04-30,289532300.47,59205986.47,2706,100.0,82.17,1200.32
2021-05-31,291504688.58,59590099.69,2715,100.0,359.54,949.96
2021-06-30,293486546.36,59975927.58,2724,100.0,305.45,1670.51
2021-07-31,295477896.47,60363473.36,2733,100.0,295.23,1004.44
2021-08-31,297478763.58,60752739.47,2742,100.0,400.87,1291.07
2021-09-30,299489176.36,61143731.69,2751,100.0,71.52,686.31
2021-10-31,301509157.47,61536452.58,2760,100.0,220.41,736.21
2021-11-30,303538731.58,61930905.36,2769,100.0,320.25,1172.07
2021-12-31,305577921.36,62327094.47,2778,100.0,414.6,427.4
2022-01-31,307626754.47,62725023.69,2787,100.0,137.37,515.33
2022-02-28,309685252.58,63124695.58,2796,100.0,368.95,296.47
2022-03-31,311753441.36,63526115.36,2805,100.0,218.16,1990.29
2022-04-30,313831344.47,63929286.47,2814,100.0,349.36,392.92
2022-05-31,315918982.58,64334212.69,2823,100.0,270.12,1844.31
2022-06-30,318016378.36,64740897.58,2832,100.0,375.22,1854.15
2022-07-31,320123555.47,65149345.36,2841,100.0,335.7,1858.26
2022-08-31,322240535.58,65559558.47,2850,100.0,404.9,1039.67
2022-09-30,324367342.36,65971540.69,2859,100.0,355.58,727.58
2022-10-31,326503997.47,66385296.58,2868,100.0,132.26,1382.85
2022-11-30,328650522.58,66800829.36,2877,100.0,228.56,1694.83
2022-12-31,330806942.36,67218142.47,2886,100.0,173.26,845.97
2023-01-31,332973279.47,67637239.69,2895,100.0,131.11,680.89
2023-02-28,335149557.58,68058124.58,2904,100.0,72.51,1844.3
2023-03-31,337335797.36,68480801.36,2913,100.0,293.55,1197.92
2023-04-30,339532024.47,68905273.47,2922,100.0,337.17,1926.51
2023-05-31,341738262.58,69331543.69,2931,100.0,367.5,1127.69
2023-06-30,343954532.36,69759616.58,2940,100.0,85.37,718.51
2023-07-31,346180859.47,70189494.36,2949,100.0,434.17,1726.33
2023-08-31,348417266.58,70621183.47,2958,100.0,119.7,120.74
2023-09-30,350663776.36,71054683.69,2967,100.0,370.25,650.97
2023-10-31,352920413.47,71489999.58,2976,100.0,191.64,1489.13
2023-11-30,355187200.58,71927134.36,2985,100.0,221.43,1146.78
2023-12-31,357464159.36,72366092.47,2994,100.0,289.57,132.59
2024-01-31,359751313.47,72806878.69,3003,100.0,134.63,1403.04
2024-02-29,362048686.58,73249497.58,3012,100.0,389.77,462.01
2024-03-31,364356301.36,73693953.36,3021,100.0,326.1,285.32
2024-04-30,366674179.47,74140250.47,3030,100.0,115.11,526.63
2024-05-31,369002342.58,74588392.69,3039,100.0,377.88,1860.68
2024-06-30,371340814.36,75038384.58,3048,100.0,424.99,979.83
2024-07-31,373689615.47,75490230.36,3057,100.0,490.05,193.03
2024-08-31,376048769.58,75943934.47,3066,100.0,196.09,534.17
2024-09-30,378418298.36,76399500.69,3075,100.0,66.72,924.71
2024-10-31,380798233.47,76856933.58,3084,100.0,176.2,1981.43
2024-11-30,383188595.58,77316237.36,3093,100.0,290.75,624.26
2024-12-31,385589408.36,77777416.47,3102,100.0,150.07,1699.53
